stereotipi,occorrenze,cluster N=10,cluster N=5,"COPPIE DI CLUSTER ALE:
---
2 FannoQuelloCheVogliono/PretendonoCose
2 SonoFannulloni
---
SonoPericolosi
SonoCriminali
---
HannoScarsaIgiene
PortanoDegrado
---
PesanoSulleNostreSpalle
Ci_Invadono
----
5 SonoDiversiDaNoi
5 HannoCulturaDiversa/SonoAnimali"
sono definite,1,X,X,
sono criminail,1,X,X,
sono costo,1,X,X,
sono colpa,1,X,X,
sono colore,1,X,X,
sono cattivi,1,X,X,
sono cannibali,1,X,X,
sono barboni,1,X,X,
sono barbari,1,X,X,
sono bambini,1,X,X,
sono assassini è,1,X,X,
sono approfittatrici,1,X,X,
sono analfabeti,1,X,X,
sono accattoni,1,X,X,
son terroristi,1,X,X,
son ladri,1,X,X,
son criminali,1,X,X,
son categoria,1,X,X,
soffocano italiani,1,X,X,
siamo diversi,1,X,X,
sfruttano immigrati,1,X,X,
sfrutta migranti,1,X,X,
segregano donne,1,X,X,
scarica problemi,1,X,X,
rubano soldi,1,X,X,
rubano case,1,X,X,
rubano bambini,1,X,X,
rubano,1,X,X,
rovinano paese,1,X,X,
rovinano economia,1,X,X,
rovinano cultura,1,X,X,
rovinano città,1,X,X,
rovina italia,1,X,X,
rom stupido,1,X,X,
ritengono donne,1,X,X,
rispettano leggi,1,X,X,
risorse a italiani,1,X,X,
richiedono punizioni,1,X,X,
ricevono,1,X,X,
religione a violenza verso,1,X,X,
religione a violenza contro donne a,1,X,X,
religione a stupro a,1,X,X,
religione a stupro,1,X,X,
religione a odio verso,1,X,X,
religione a odio,1,X,X,
rappresentano minaccia,1,X,X,
puzzano,1,X,X,
provocano caos,1,X,X,
protegge terroristi,1,X,X,
protegge crimini,1,X,X,
promuove misoginia,1,X,X,
profughi spinge italiani,1,X,X,
privano italiani,1,X,X,
prevaricano religioni,1,X,X,
pretendono privilegi,1,X,X,
pretendono essere,1,X,X,
pretendono diritti,1,X,X,
prendono italiani,1,X,X,
preferiscono mussulmani,1,X,X,
preferisce mussulmani,1,X,X,
portano criminalità,1,X,X,
pd clandestini,1,X,X,
parte di a,1,X,X,
parlano di immigrati,1,X,X,
pagano immigrati,1,X,X,
odiano donne,1,X,X,
odiano cristiani,1,X,X,
obbliga donne velo,1,X,X,
non vogliono migranti,1,X,X,
non tutelano figli,1,X,X,
non trattati,1,X,X,
non sviluppati,1,X,X,
non subiscono torture,1,X,X,
non stare,1,X,X,
non sostenuti,1,X,X,
non servono,1,X,X,
non scappano,1,X,X,
non sa immigrazione,1,X,X,
non rispettare regole,1,X,X,
non rispettano ospitalità,1,X,X,
non rinunciare,1,X,X,
non ricevono aiuti,1,X,X,
non punisce migranti,1,X,X,
non protestare,1,X,X,
non pensano leggi,1,X,X,
non pagano tasse,1,X,X,
non pagano biglietto,1,X,X,
non pagano,1,X,X,
non ostentare cultura,1,X,X,
non oppor,1,X,X,
non occupano,1,X,X,
non non riguarda,1,X,X,
non non puà,1,X,X,
non meritano compassione,1,X,X,
non integrati,1,X,X,
non hanno pudore,1,X,X,
non hanno morale,1,X,X,
non hanno doveri,1,X,X,
non esistono,1,X,X,
non educano migranti,1,X,X,
non diritti,1,X,X,
non controlla migranti,1,X,X,
non cambieranno,1,X,X,
non benvenuti,1,X,X,
non benaccetti,1,X,X,
non aiutare immigrati,1,X,X,
non adattano,1,X,X,
nascondono qualcosa,1,X,X,
musulmani senza,1,X,X,
musulmani italiani,1,X,X,
musulmani italia,1,X,X,
molestano persone,1,X,X,
molestano donne,1,X,X,
molestano animali,1,X,X,
minimizzano crimini,1,X,X,
minimizza crimini,1,X,X,
minacciano persone,1,X,X,
migranti significa,1,X,X,
migranti di,1,X,X,
meritano carcere,1,X,X,
mentono,1,X,X,
mantiene migranti,1,X,X,
mantengono minoranze,1,X,X,
maltrattano animali,1,X,X,
lucrano su immigrazione,1,X,X,
lucra su rom,1,X,X,
limitano libertà,1,X,X,
limita sovranità,1,X,X,
lavorano in nero,1,X,X,
invadono paese,1,X,X,
invadono città,1,X,X,
invadono,1,X,X,
invadere occidente,1,X,X,
incita a perversioni,1,X,X,
in case di,1,X,X,
imporre islam,1,X,X,
impone su cultura,1,X,X,
impediscono famiglia,1,X,X,
immigrazione,1,X,X,
immigrati a,1,X,X,
hanno storia,1,X,X,
hanno libido,1,X,X,
hanno libertà,1,X,X,
hanno igiene,1,X,X,
hanno fisici,1,X,X,
hanno bisogno,1,X,X,
